[0.000	79.883]
 SPEAKER_03	" 의료계가  또다시  술렁이고  있습니다. WTO를  중심으로  한  거센  개방의  파고가  그동안  공공재로  분류되어  왔던  의료계에도  숨가쁘게  밀리고  있기  때문인데요. 생명과  직접  연계된  이  문제에  정부는  물론  당사자인  의료계도  너무  안이하게  대처하고  있는  게  아닌가  하는  비판이  일고  있습니다. 오늘  난상토론에서는 기본을  다시  한번  고민해보고 임하는  우리의  대응  방안을  심도있게  고찰해보도록  하겠습니다.  난상토론  잠시  후에  뵙겠습니다. 오늘  이  자리에  저희가  출연  요청을  드렸지만  협회  측  사정상  이  자리에  나오지  못하셨습니다.  이  점  양해의  말씀을  구합니다. 앞서  모두에서  보셨던  것처럼  의료시장  개방  협상이  본격화되고  있습니다.  이번  협상을  이  자리에  오신  토론자분들께서는  어떻게  보고  계신지  노  박사님께서는  아무래도  병원  경영자  입장에서  말이죠.  이번에  진행되고  있는  WTO  의료시장  개방  협상을  어떻게  보고  계시는지요."

[80.508	117.616]
 SPEAKER_08	" 개방  협상이  만약에  개방  쪽으로 난다고  할  것  같으면  아마  가장  큰  영향을  받는  게  병원  분야인  것  같습니다. 병원은  병원  운영  자체뿐만  아니라 속에  구성원들이  의사,  간호사, 그리고  또  병원  행정  서비스,  그  외에  전산망이라든지  이런  여러  가지들이  다  동시에  개방되는  그런  우려가  있기  때문에 의해서  아마 패자가  갈라지는  그러한  굉장한  위험성도  내포하고  있다고  생각해서  예의주시하고  있는  상태입니다."

[117.717	130.289]
 SPEAKER_03	" 네.  천  박사님. 한의사  분들도  WTO  시장  개방에  관한  어떤  입장이랄까요?  그것이  참  남다를  것  같은데요.  어떻게  이  협상을  준비하고  계신지요?"

[130.424	203.088]
 SPEAKER_01	" 네.  저희들은  90년대  초부터  한의학의  세계화를  주창을  하고  세계  각국의  한의학을  보급하기  위해서  상당히  노력을  해왔습니다만 시장  개방이라고  하는  문제가  현실적으로  닥치니까  회원들의  여론은  지금  두  가지로  나옵니다.  젊은  층을  중심으로  적극적으로  해외시장을  개발해야  된다는  입장과 보수적인  입장에서  국민  건강의  어떤  그런  수준을  유지하기  위해서 우리나라로  유입되는  인력에  대해서는  상당한  경계를  가지고  주의를  기울여야  된다는  두  가지  입장이  나오고  있습니다.  더군다나 하는  분야가 한의사  제도가  있지만  선진제국에는  한의사라고  하는  제도  자체가  없기  때문에  어떤  한의사라고  하는  제도  분류  코드  자체를  유엔에서  좀  만들어줘서  한의사들의  친구사가  아닌  또  다른  유사  의료업자가  아닌  의료인으로서  각국에  진출할  수  있는  어떤  이런  국제협상을  통해서  지위를  보장받아야  되겠다는  입장도  있고 한의학은  좀  특수적으로  국내적인  기반이  상당히  취약합니다. 법규가  여러  가지로  미부의  한  점이  많기  때문에 WTO 통해서  국내  법령을  좀  정비해서  한의학이  새롭게  도약할  수  있는  기회로  마련하자는  지금  준비를  열심히  하고  있습니다."
